date, value
2005-02-02,3951.72
2005-02-03,3928.9399
2005-02-04,3958.01
2005-02-07,3981.8999
2005-02-08,3980.77
2005-02-09,3969.6201
2005-02-10,3970.3701
2005-02-11,4016.75
2005-02-14,4012.1101
2005-02-15,4030.45
2005-02-16,4009.02
2005-02-17,4005.5
2005-02-18,4029.02
2005-02-21,4022.6201
2005-02-22,4002.3301
2005-02-23,3977.1899
2005-02-24,3977.6699
2005-02-25,4034.5701
2005-02-28,4027.1599
2005-03-01,4054.98
2005-03-02,4062.72
2005-03-03,4061.3501
2005-03-04,4091.5801
2005-03-07,4108
2005-03-08,4085.3799
2005-03-09,4066.6899
2005-03-10,4038.21
2005-03-11,4049.1799
2005-03-14,4048.55
2005-03-15,4077.74
2005-03-16,4019.3999
2005-03-17,4032.0701
2005-03-18,4050.77
2005-03-21,4033
2005-03-22,4047.1799
2005-03-23,4032.4099
2005-03-24,4078.3101
2005-03-29,4081.6499
2005-03-30,4064.6101
2005-03-31,4067.78
2005-04-01,4080.0801
2005-04-04,4052.3201
2005-04-05,4087.9399
2005-04-06,4106.9902
2005-04-07,4124.3701
2005-04-08,4124.29
2005-04-11,4117.6201
2005-04-12,4096.8101
2005-04-13,4116.8501
2005-04-14,4111.1099
2005-04-15,4032.28
2005-04-18,3949.5901
2005-04-19,3962.3899
2005-04-20,3950.02
2005-04-21,3951.02
2005-04-22,3980.1799
2005-04-25,3993.0701
2005-04-26,3993.04
2005-04-27,3927.6799
2005-04-28,3911.45
2005-04-29,3911.71
2005-05-02,3938.77
2005-05-03,3955.9299
2005-05-04,3987.6299
2005-05-05,4019.3501
2005-05-06,4033.46
2005-05-09,4020.1899
2005-05-10,4000.25
2005-05-11,3979.53
2005-05-12,4015.6499
2005-05-13,4017.8899
2005-05-16,4010.98
2005-05-17,4006.1899
2005-05-18,4073.1499
2005-05-19,4085.98
2005-05-20,4096.1802
2005-05-23,4118.3701
2005-05-24,4102.0601
2005-05-25,4100.27
2005-05-26,4137.2798
2005-05-27,4131.8301
2005-05-30,4134.8701
2005-05-31,4120.73
2005-06-01,4178.25
2005-06-02,4183.7202
